name,address,phone,website,email,rating,reviews_count,city,category,scraped_at
Café Paris,"Adresse: Rathausstraße 4, 20095 Hamburg ",Telefon: 040 32527777 ,http://www.cafeparis.net/,info@cafeparis.net,"4,2",,Hamburg,cafe,2025-11-18 16:57:16
Café Paris,"Adresse: Rathausstraße 4, 20095 Hamburg ",Telefon: 040 32527777 ,http://www.cafeparis.net/,info@cafeparis.net,"4,2",,Hamburg,cafe,2025-11-18 16:57:23
Café Gnosa,"Adresse: Lange Reihe 93, 20099 Hamburg ",Telefon: 040 243034 ,https://instagram.com/cafe_gnosa?igshid=YmMyMTA2M2Y=,,"4,4",,Hamburg,cafe,2025-11-18 16:57:30
The Coffee Box,"Adresse: Amalienstraße 5, 21073 Hamburg ",Telefon: 040 60923101 ,http://blackhatcoffee.de/,,"4,9",,Hamburg,cafe,2025-11-18 16:57:41
Frau Möller,"Adresse: Lange Reihe 96, 20099 Hamburg ",Telefon: 040 25328817 ,https://fraumoeller.com/,info@fraumoeller.com,"4,5",,Hamburg,food,2025-11-18 16:58:10
Gasthaus Heimathafen,"Adresse: Baumwall 5-7, 20459 Hamburg ",Telefon: 040 37503730 ,http://www.gasthaus-heimathafen.de/,blickpix@gmail.com,"4,4",,Hamburg,food,2025-11-18 16:58:37
bigbitegyros,"Adresse: Haakestraße 3a, 21075 Hamburg ",Telefon: 040 76757129 ,https://www.big-bite-gyros.de/,,"4,6",,Hamburg,food,2025-11-18 16:58:44
Schifferbörse Restaurant,"Adresse: Kirchenallee 46, 20099 Hamburg ",Telefon: 040 245240 ,http://www.schifferboerse-hamburg.de/,info@schifferboerse-hamburg.de,"4,5",,Hamburg,food,2025-11-18 16:58:55
Restaurant Krameramtsstuben,"Adresse: Krayenkamp 10, 20459 Hamburg ",Telefon: 040 365800 ,http://www.krameramtsstuben.de/,reservation@krameramtsstuben.de,"4,6",,Hamburg,food,2025-11-18 16:59:23
Restaurant Im Sprinkenhof,"Adresse: Burchardstraße 8, 20095 Hamburg ",Telefon: 040 335185 ,http://restaurant-sprinkenhof.de/,kontakt@restaurant-sprinkenhof.de,"4,7",,Hamburg,food,2025-11-18 16:59:30
Restaurant Das Dorf – Deutsche Küche in Hamburg St. Georg,"Adresse: Lange Reihe 39, 20099 Hamburg ",Telefon: 040 245614 ,https://restaurant-dorf.de/,info@restaurant-dorf.de,"4,7",,Hamburg,food,2025-11-18 16:59:37
Restaurant Scharf,"Adresse: Harburger Schloßstraße 2, 21079 Hamburg ",Telefon: 040 774422 ,https://www.restaurant-scharf.de/,,"4,7",,Hamburg,food,2025-11-18 16:59:42
Lavas Hamburg,"Adresse: Moorstraße 23, 21073 Hamburg ",Telefon: 040 38089014 ,https://www.lavas-hamburg.de/,,"4,6",,Hamburg,food,2025-11-18 16:59:48
Viet No1 Restaurant,"Adresse: Wilhelmstraße 1, 21073 Hamburg ",Telefon: 040 32873806 ,https://www.vietno1.de/,support@restablo.de,"4,4",,Hamburg,food,2025-11-18 16:59:53
Erdapfel Hamburg,"Adresse: Burchardstraße 10, 20095 Hamburg ",Telefon: 040 52167305 ,https://www.erdapfel-hamburg.de/,kontakt@erdapfel-hamburg.de,"4,8",,Hamburg,food,2025-11-18 16:59:59
Old Commercial Room,"Adresse: Engl. Planke 10, 20459 Hamburg ",Telefon: 040 366319 ,https://www.oldcommercialroom.de/,,"4,7",,Hamburg,food,2025-11-18 17:00:06
Balkan Street Food - Burek & Ćevapčići,"Adresse: Großer Schippsee 26, 21073 Hamburg ",Telefon: 040 75688235 ,,,"4,7",,Hamburg,food,2025-11-18 17:00:17
Gassenhaur Restaurant & Beisl,"Adresse: Kastanienallee 32, 20359 Hamburg ",Telefon: 040 311231 ,https://gassenhaur.de/,servus@gassenhaur.de,"4,6",,Hamburg,food,2025-11-18 17:00:27
The Magic Table - Hamburg,"Adresse: Rothenbaumchaussee 10, 20148 Hamburg ",Telefon: 040 41412866 ,http://themagictable.com/hamburg,tmt.hamburg@grand-elysee.com,,,Hamburg,bistro,2025-11-18 17:00:55
Gastwerk Hotel Hamburg,"Adresse: Beim Alten Gaswerk 3/EG, 22761 Hamburg ",Telefon: 040 890620 ,http://www.gastwerk.com/,info@gastwerk-hotel.de,"4,7",,Hamburg,bistro,2025-11-18 17:01:02
Bistro Kleinod,"Adresse: Schmilinskystraße 19, 20099 Hamburg ",Telefon: 040 46009797 ,http://www.bistro-kleinod.de/,info@bistro-kleinod.de,"4,9",,Hamburg,bistro,2025-11-18 17:01:08
Restaurant Scharf,"Adresse: Harburger Schloßstraße 2, 21079 Hamburg ",Telefon: 040 774422 ,https://www.restaurant-scharf.de/,,"4,7",,Hamburg,bistro,2025-11-18 17:01:15
Bistro & Café Ivy,"Adresse: Hopfensack 8, 20457 Hamburg ",Telefon: 040 61199954 ,https://speisekartenweb.de/restaurants/hamburg/bistro-ivy-146088?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,info@ivy-hamburg.de,"4,6",,Hamburg,bistro,2025-11-18 17:01:20
das BISTRO,"Adresse: Alsterdorfer Str. 37, 22299 Hamburg ",Telefon: 040 20201060 ,https://www.dasbistrowinterhude.de/,,"4,5",,Hamburg,bistro,2025-11-18 17:01:26
Pamola Bistro,"Adresse: Slomanhaus, Steinhöft 11, 20459 Hamburg ",Telefon: 0176 51770998 ,https://www.pamola-hamburg.de/,,"4,9",,Hamburg,bistro,2025-11-18 17:01:33
Butterbrot Café-Bistro,"Adresse: Steinhöft 5, 20459 Hamburg ",Telefon: 0173 9107853 ,https://butterbrot.hamburg/,bistro@butterbrot.hamburg,"4,8",,Hamburg,bistro,2025-11-18 17:01:40
Le Plat du Jour,"Adresse: Dornbusch 4, 20095 Hamburg ",Telefon: 040 321414 ,https://www.le-plat-du-jour.de/,restaurant@le-plat-du-jour.de,"4,5",,Hamburg,bistro,2025-11-18 17:01:47
Hoi An Hamburg,"Adresse: Schellerdamm 1, 21079 Hamburg ",Telefon: 040 20962478 ,https://www.hoian-restaurant.de/,hoian.alsterdorf@gmail.com,"4,5",,Hamburg,bistro,2025-11-18 17:01:55
Buddha Kitchen,"Adresse: Neue Str. 17, 21073 Hamburg ",Telefon: 040 46000990 ,https://www.buddhakitchen-harburg.de/,info@buddhakitchen-harburg.de,"4,8",,Hamburg,bistro,2025-11-18 17:02:01
Restaurant Caspari,"Adresse: Lämmertwiete 6-10, 21073 Hamburg ",Telefon: 040 7665157 ,http://www.caspari-harburg.de/,ashtarany@gmx.de,"4,2",,Hamburg,bistro,2025-11-18 17:02:06
Bootshaus Grill & Bar - Hafencity,"Adresse: Am Kaiserkai 19, 20457 Hamburg ",Telefon: 040 33473744 ,http://bootshaus-hafencity.de/,RESERVIERUNG@BOOTSHAUS-HAFENCITY.DE,"4,8",,Hamburg,bistro,2025-11-18 17:02:11
Dong Tien Asia Bistro,"Adresse: Wilstorfer Str. 52, 21073 Hamburg ",Telefon: 040 76756303 ,,,"4,8",,Hamburg,bistro,2025-11-18 17:02:18
Bistro64,"Adresse: Grindelhof 64, 20146 Hamburg ",Telefon: 040 45000838 ,http://www.bistro64.de/,info@bistro64.de,"4,7",,Hamburg,bistro,2025-11-18 17:02:25
Café-Bistro Bei Maria,"Adresse: Große Reichenstraße 14, 20457 Hamburg ",Telefon: 040 35580432 ,https://catering-beimaria.de/,,"4,5",,Hamburg,bistro,2025-11-18 17:02:31
Bistro Carmagnole,"Adresse: Juliusstraße 18, 22769 Hamburg ",Telefon: 040 40186115 ,http://www.carmagnole.de/,,"4,8",,Hamburg,bistro,2025-11-18 17:02:38
Banks Bistro Hamburg,"Adresse: Banksstraße 28 Ecke, Lippeltstraße, 20097 Hamburg ",Telefon: 040 32310213 ,https://banksbistro.de/,,"4,4",,Hamburg,bistro,2025-11-18 17:02:49
Madame Mai Hamburg,"Adresse: Stahltwiete 19a, 22761 Hamburg ",Telefon: 040 32591294 ,http://www.madamemai-hamburg.de/,info@madamemai-hamburg.de,"4,7",,Hamburg,imbiss,2025-11-18 17:03:19
Gastwerk Hotel Hamburg,"Adresse: Beim Alten Gaswerk 3/EG, 22761 Hamburg ",Telefon: 040 890620 ,http://www.gastwerk.com/,info@gastwerk-hotel.de,"4,7",,Hamburg,imbiss,2025-11-18 17:03:24
Döner Connection,"Adresse: Alter Postweg 31, 21075 Hamburg ",Telefon: 040 76756668 ,https://doener-connection-hamburg.eatbu.com/,,"4,4",,Hamburg,imbiss,2025-11-18 17:03:31
Balkan Street Food - Burek & Ćevapčići,"Adresse: Großer Schippsee 26, 21073 Hamburg ",Telefon: 040 75688235 ,,,"4,7",,Hamburg,imbiss,2025-11-18 17:03:39
Hatay Grill Imbiss,"Adresse: Heimfelder Str. 4, 21075 Hamburg ",Telefon: 040 79140646 ,,,"3,6",,Hamburg,imbiss,2025-11-18 17:03:47
Bruzzelhütte,"Adresse: Bremer Str. 239, 21073 Hamburg ",Telefon: 040 7607828 ,http://www.bruzzelhuette.com/,,"4,8",,Hamburg,imbiss,2025-11-18 17:03:53
bigbitegyros,"Adresse: Haakestraße 3a, 21075 Hamburg ",Telefon: 040 76757129 ,https://www.big-bite-gyros.de/,,"4,6",,Hamburg,imbiss,2025-11-18 17:04:00
Paros Grill,"Adresse: Hastedtstraße 2, 21073 Hamburg ",Telefon: 040 776507 ,https://www.parosgrill.de/,,"4,5",,Hamburg,imbiss,2025-11-18 17:04:05
Imbiss bei Schorsch,"Adresse: Beim Grünen Jäger 14, 20359 Hamburg ",Telefon: 040 43091925 ,http://www.imbiss-bei-schorsch.de/ueber-uns.html,info@imbiss-bei-schorsch.de,"4,6",,Hamburg,imbiss,2025-11-18 17:04:11
Imbiß Kutscherstube Frühstücksangebot & Mittagstisch,"Adresse: Großmoorbogen 11A, 21079 Hamburg ",Telefon: 0175 6803931 ,,,"4,8",,Hamburg,imbiss,2025-11-18 17:04:18
Wunder Döner,"Adresse: Schloßmühlendamm 1, 21073 Hamburg ",,https://speisekartenweb.de/restaurants/hamburg/wunder-d%C3%B6ner-231371?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin_b,kontakt@speisekartenweb.de,"4,7",,Hamburg,imbiss,2025-11-18 17:04:25
LAZIZ Fried Chicken,"Adresse: Hannoversche Str. 86, 21079 Hamburg ",,,,"4,5",,Hamburg,imbiss,2025-11-18 17:04:31
"Schnellrestaurant ""von-bis""","Adresse: Kanalpl. 8A, 21079 Hamburg ",Telefon: 040 777434 ,http://www.vonbis-restaurant.de/,sonjabarisic@live.de,"4,5",,Hamburg,imbiss,2025-11-18 17:04:38
Imbiss bei Schorsch das Original II GmbH,"Adresse: Rathausmarkt 7, 20095 Hamburg ",,http://imbiss-bei-schorsch.de/,info@imbiss-bei-schorsch.de,"4,3",,Hamburg,imbiss,2025-11-18 17:04:44
Mina Imbiss (S-Bahnhof Wilhelmsburg),"Adresse: S-Bahnhof, Wilhelm-Strauß-Weg 1b, 21109 Hamburg ",Telefon: 040 33399550 ,http://minadeli.de/,,"4,7",,Hamburg,imbiss,2025-11-18 17:04:50
DönerQueen,"Adresse: Harburger Ring 24, 21073 Hamburg ",,https://donerqueen.g4r.net/,,"3,6",,Hamburg,imbiss,2025-11-18 17:04:57
Alhayba Grillhaus,"Adresse: Harburger Rathausstraße 18, 21073 Hamburg ",Telefon: 01575 8165886 ,https://www.alhaybagrillhaus.de/,kontakt@alhaybagrillhaus.de,"4,5",,Hamburg,imbiss,2025-11-18 17:05:04
Neustädter Grill Meier,"Adresse: Wexstraße 30, 20355 Hamburg ",Telefon: 040 344762 ,,,"4,7",,Hamburg,imbiss,2025-11-18 17:05:16
